participant,Pointing From,Target Building,Correct Ans,Pointing To,Angular Error
607,Golledge,Tobler,147.0284471,30.13652,116.8919271
607,Golledge,Batty,173.5694617,46.12474,127.4447217
607,Golledge,Lynch,173.9683139,49.12513,124.8431839
607,Golledge,Sauer,76.21088344,78.39218,2.18129656
607,Golledge,Harris,176.2022806,38.40907,137.7932106
607,Golledge,Harvey,139.9309368,156.3542,16.4232632
607,Snow,Tobler,63.69277617,145.153,81.46022383
607,Snow,Batty,90.64700942,166.1405,75.49349058
607,Snow,Lynch,79.44851915,173.6224,94.17388085
607,Snow,Golledge,125.8431145,131.8365,5.9933855
607,Snow,Sauer,0.279262352,3.240451,2.961188648
607,Snow,Harris,88.09346154,20.17403,67.91943154
607,Snow,Harvey,119.6929579,35.34703,84.3459279
